"Taxon","UTM.cell"
"Adonis annua","30SXH45"
"Adonis annua","30SXH46"
"Adonis annua","30SXH47"
"Adonis annua","30SXH48"
"Adonis annua","30SXH53"
"Adonis annua","30SXH54"
"Adonis annua","30SXH55"
"Adonis annua","30SXH56"
"Adonis annua","30SXH57"
"Adonis annua","30SXH58"
"Adonis annua","30SXH59"
"Adonis annua","30SXH86"
"Adonis annua","30SYH02"
"Adonis flammea","30SWG69"
"Adonis flammea","30SWG79"
"Adonis flammea","30SWG89"
"Adonis flammea","30SWG99"
"Adonis flammea","30SWH60"
"Adonis flammea","30SWH61"
"Adonis flammea","30SWH62"
"Adonis flammea","30SWH70"
"Adonis flammea","30SWH71"
"Adonis flammea","30SWH72"
"Adonis flammea","30SWH73"
"Adonis flammea","30SWH80"
"Adonis flammea","30SWH81"
"Adonis flammea","30SWH82"
"Adonis flammea","30SWH83"
"Adonis flammea","30SWH90"
"Adonis flammea","30SWH91"
"Adonis flammea","30SWH92"
"Adonis flammea","30SWH93"
"Adonis flammea","30SWH94"
"Adonis flammea","30SXG09"
"Adonis flammea","30SXH00"
"Adonis flammea","30SXH01"
"Adonis flammea","30SXH02"
"Adonis flammea","30SXH03"
"Adonis flammea","30SXH04"
"Adonis flammea","30SXH10"
"Adonis flammea","30SXH11"
"Adonis flammea","30SXH12"
"Adonis flammea","30SXH13"
"Adonis flammea","30SXH14"
"Adonis flammea","30SXH21"
"Adonis flammea","30SXH22"
"Adonis flammea","30SXH23"
"Adonis flammea","30SXH24"
"Adonis pyrenaica","30TYN05"
"Aegilops geniculata","30TXP11"
"Aegilops geniculata","30TXP22"
"Aegilops triuncialis","30TXP11"
"Aegilops triuncialis","30TXP21"
"Aegopodium podagraria","30TWN89"
"Aegopodium podagraria","30TXP81"
"Aegopodium podagraria","31TCH22"
"Aethionema saxatile","30STK72"
"Agrimonia eupatoria eupatoria","30TYN18"
"Agrimonia procera","30TYP02"
"Agrostis alpina","29TPG86"
"Agrostis alpina","29TQG19"
"Agrostis alpina","29TQH14"
"Agrostis alpina","30TUN16"
"Agrostis alpina","30TUN66"
"Agrostis alpina","30TWM04"
"Agrostis alpina","30TWM05"
"Agrostis alpina","30TWM15"
"Agrostis alpina","30TWM24"
"Agrostis alpina","30TWM25"
"Agrostis alpina","30TWM36"
"Agrostis alpina","30TWM92"
"Agrostis alpina","30TWN55"
"Agrostis capillaris","30STF64"
"Agrostis capillaris","30STF77"
"Agrostis capillaris","30SUF05"
"Agrostis capillaris","30SUG62"
"Agrostis capillaris","30SUH76"
"Agrostis capillaris","30SUH77"
"Agrostis capillaris","30SUH83"
"Agrostis capillaris","30SUH95"
"Agrostis capillaris","30SVF18"
"Agrostis capillaris","30SVF28"
"Agrostis capillaris","30SVF37"
"Agrostis capillaris","30SVF48"
"Agrostis capillaris","30SVF59"
"Agrostis capillaris","30SVF69"
"Agrostis capillaris","30SVG35"
"Agrostis capillaris","30SVG61"
"Agrostis capillaris","30SVG71"
"Agrostis capillaris","30SVH03"
"Agrostis capillaris","30SVH51"
"Agrostis capillaris","30SWH30"
"Agrostis capillaris","30SWH33"
"Agrostis capillaris","30SXJ82"
"Agrostis capillaris","30SYH46"
"Agrostis capillaris","30SYJ22"
"Agrostis capillaris","30SYJ23"
"Agrostis capillaris","30TXN48"
"Agrostis capillaris","30TXN76"
"Agrostis capillaris","30TXP00"
"Agrostis capillaris","30TXP11"
"Agrostis capillaris","30TXP21"
"Agrostis capillaris","30TXP22"
"Agrostis capillaris","30TXP30"
"Agrostis capillaris","30TXP41"
"Agrostis curtisii","30TXN48"
"Agrostis curtisii","30TXN49"
"Agrostis curtisii","30TXN57"
"Agrostis curtisii","30TXN76"
"Agrostis curtisii","30TXP00"
"Agrostis curtisii","30TXP10"
"Agrostis curtisii","30TXP21"
"Agrostis curtisii","30TXP30"
"Agrostis curtisii","30TXP40"
"Agrostis curtisii","30TXP41"
"Agrostis gigantea","30TXP21"
"Agrostis gigantea","30TXP31"
"Agrostis gigantea","30TXP60"
"Agrostis gigantea","30TXP90"
"Agrostis gigantea","30TYP00"
"Agrostis nevadensis","30TUN48"
"Agrostis schleicheri","30TXN76"
"Agrostis schleicheri","30TXN86"
"Agrostis stolonifera","30TWP09"
"Agrostis stolonifera","30TXN48"
"Agrostis stolonifera","30TXN76"
"Agrostis stolonifera","30TXP00"
"Agrostis stolonifera","30TXP11"
"Agrostis stolonifera","30TXP20"
"Agrostis stolonifera","30TXP21"
"Agrostis stolonifera","30TXP61"
"Aira caryophyllea multiculmis","30TXN48"
"Aira elegans","29TQG34"
"Aira elegans","30TTL63"
"Aira elegans","30TTL73"
"Aira elegans","30TTL77"
"Aira elegans","30TTL84"
"Aira elegans","30TTL88"
"Aira elegans","30TUN66"
"Aira elegans","30TUN86"
"Aira elegans","30TVL87"
"Aira elegans","30TVM54"
"Aira hercynica","30TXK91"
"Aira minoricensis","31SEE73"
"Aira praecox","30TXN48"
"Aira praecox","30TXP11"
"Aira praecox","30TXP12"
"Aira uniaristata","29SNC96"
"Aira uniaristata","29SND50"
"Aira uniaristata","29SNE71"
"Aira uniaristata","29SPB47"
"Aira uniaristata","29SPB59"
"Aira uniaristata","29SPB65"
"Aira uniaristata","29SPB72"
"Aira uniaristata","29SPB81"
"Aira uniaristata","29SPB87"
"Aira uniaristata","29SPB99"
"Aira uniaristata","29SPC82"
"Aira uniaristata","29SPD53"
"Aira uniaristata","29SQA29"
"Aira uniaristata","29SQB09"
"Aira uniaristata","29SQB19"
"Aira uniaristata","29SQB38"
"Aira uniaristata","29SQB49"
"Aira uniaristata","29SQB51"
"Aira uniaristata","29SQC10"
"Aira uniaristata","29SQC20"
"Aira uniaristata","29TPF88"
"Aira uniaristata","29TQE29"
"Aira uniaristata","30STF59"
"Aira uniaristata","30STH60"
"Aira uniaristata","30STH61"
"Aira uniaristata","30STH70"
"Aira uniaristata","30SUH40"
"Aira uniaristata","30SUH63"
"Aira uniaristata","30SUH78"
"Aira uniaristata","30SUH85"
"Aira uniaristata","30SUJ46"
"Aira uniaristata","30SUJ47"
"Aira uniaristata","30SUJ72"
"Aira uniaristata","30SVJ44"
"Aira uniaristata","30SVJ50"
"Aira uniaristata","30SWH06"
"Aira uniaristata","30TVN92"
"Aira uniaristata","31SCC68"
"Aira uniaristata","31SDE81"
"Aira uniaristata","31SED39"
"Aira uniaristata","31SEE82"
"Aira uniaristata","31SFE01"
"Airopsis tenella","30TXP21"
"Ajuga chamaepitys","30TXP50"
"Ajuga chamaepitys","30TXP71"
"Ajuga reptans","30TXN48"
"Ajuga reptans","30TXN67"
"Ajuga reptans","30TXN78"
"Ajuga reptans","30TXN86"
"Ajuga reptans","30TXP00"
"Ajuga reptans","30TXP10"
"Ajuga reptans","30TXP11"
"Ajuga reptans","30TXP21"
"Ajuga reptans","30TXP30"
"Ajuga reptans","30TXP31"
"Alchemilla albinervia","30TYM46"
"Alchemilla alpigena","30TXN67"
"Alchemilla alpigena","30TXN76"
"Alchemilla alpigena","30TXN86"
"Alchemilla alpigena","30TYN05"
"Alchemilla alpigena","30TYN16"
"Alchemilla alpina","30TXN48"
"Alchemilla alpina","30TXN57"
"Alchemilla angustiserrata","30TWN16"
"Alchemilla cataractarum","31TCG35"
"Alchemilla connivens","30TYN15"
"Alchemilla coriacea","30TYN16"
"Alchemilla fallax","30TYM47"
"Alchemilla fallax","31TCG35"
"Alchemilla frost-olsenii","29SQC53"
"Alchemilla fulgida","30TTN62"
"Alchemilla glabra","30TUK06"
"Alchemilla glabra","30TUK26"
"Alchemilla hispanica","30TTN62"
"Alchemilla ozana","30TYM47"
"Alchemilla pallens","31TCG35"
"Alchemilla perspicua","30TVN57"
"Alchemilla polatschekiana","30TYM47"
"Alchemilla rugulosa","29TPE16"
"Alchemilla spathulata","30TVM96"
"Alchemilla spathulata","30TVM97"
"Alchemilla spectabilior","30TXN84"
"Alchemilla straminea","30TYN16"
"Alchemilla subalpina","30TTN62"
"Alchemilla tenuis","31TCG35"
"Alchemilla transiens","30TXN76"
"Alchemilla xanthochlora","30TXN57"
"Alisma lanceolatum","30TXP11"
"Alisma lanceolatum","30TXP51"
"Alisma plantago-aquatica","30TXN48"
"Alisma plantago-aquatica","30TXP11"
"Alisma plantago-aquatica","30TXP51"
"Alkanna lutea","30TXM15"
"Alkanna tinctoria tinctoria","30SWG69"
"Alkanna tinctoria tinctoria","30SWG79"
"Alkanna tinctoria tinctoria","30SWG89"
"Alkanna tinctoria tinctoria","30SWG99"
"Alkanna tinctoria tinctoria","30SWH50"
"Alkanna tinctoria tinctoria","30SWH51"
"Alkanna tinctoria tinctoria","30SWH60"
"Alkanna tinctoria tinctoria","30SWH61"
"Alkanna tinctoria tinctoria","30SWH62"
"Alkanna tinctoria tinctoria","30SWH70"
"Alkanna tinctoria tinctoria","30SWH71"
"Alkanna tinctoria tinctoria","30SWH72"
"Alkanna tinctoria tinctoria","30SWH73"
"Alkanna tinctoria tinctoria","30SWH80"
"Alkanna tinctoria tinctoria","30SWH81"
"Alkanna tinctoria tinctoria","30SWH82"
"Alkanna tinctoria tinctoria","30SWH83"
"Alkanna tinctoria tinctoria","30SWH90"
"Alkanna tinctoria tinctoria","30SWH91"
"Alkanna tinctoria tinctoria","30SWH92"
"Alkanna tinctoria tinctoria","30SWH93"
"Alkanna tinctoria tinctoria","30SXG09"
"Alkanna tinctoria tinctoria","30SXH00"
"Alkanna tinctoria tinctoria","30SXH01"
"Alkanna tinctoria tinctoria","30SXH02"
"Alkanna tinctoria tinctoria","30SXH03"
"Alkanna tinctoria tinctoria","30SXH04"
"Alkanna tinctoria tinctoria","30SXH10"
"Alkanna tinctoria tinctoria","30SXH11"
"Alkanna tinctoria tinctoria","30SXH12"
"Alkanna tinctoria tinctoria","30SXH13"
"Alkanna tinctoria tinctoria","30SXH14"
"Alkanna tinctoria tinctoria","30SXH21"
"Alkanna tinctoria tinctoria","30SXH22"
"Alkanna tinctoria tinctoria","30SXH23"
"Alkanna tinctoria tinctoria","30SXH24"
"Alliaria petiolata","30TXN48"
"Alliaria petiolata","30TXN78"
"Alliaria petiolata","30TXP21"
"Alliaria petiolata","30TXP70"
"Alliaria petiolata","31TDG69"
"Allium ampeloprasum","29SNB02"
"Allium ampeloprasum","30TXP60"
"Allium ericetorum","30TXN48"
"Allium ericetorum","30TXN76"
"Allium ericetorum","30TXN77"
"Allium ericetorum","30TXN86"
"Allium ericetorum","30TXP00"
"Allium ericetorum","30TXP11"
"Allium ericetorum","30TXP20"
"Allium ericetorum","30TXP21"
"Allium ericetorum","30TXP50"
