Taxon,UTM10x10,Notas
Sesamoides interrupta,29SQB49,JCM
Sesamoides interrupta,29SQC17,JCM
Sesamoides interrupta,29SQC27,JCM
Sesamoides interrupta,29SQD11,JCM
Sesamoides interrupta,29TPE77,JCM
Sesamoides interrupta,29TPE77,JCM
Sesamoides interrupta,30SUJ07,JCM
Sesamoides interrupta,30TTK66,JCM
Sesamoides interrupta,30TTK75,JCM
Sesamoides interrupta,30TTK94,JCM
Sesamoides interrupta,31TBH92,JCM
Sesamoides interrupta,31TCH32,JCM
Sesamoides interrupta,31TCH32,JCM
Silene longicilia,30STF70,JCM
Silene nemoralis,30TVL74,JCM
Soleirolia soleirolii,29TNE45,JCM
Soleirolia soleirolii,29TNE56,JCM
Soleirolia soleirolii,29TNE66,JCM
Soleirolia soleirolii,29TNF23,JCM
Soleirolia soleirolii,29TNF30,JCM
Soleirolia soleirolii,29TNF35,JCM
Soleirolia soleirolii,30TVK09,JCM
Stachys sylvatica,30SVH54,JCM
Taraxacum cordatum,29SPC00,JCM
Taraxacum cordatum,29SPD70,JCM
Taraxacum cordatum,29SQD27,JCM
Taraxacum cordatum,29SQD31,JCM
Taraxacum cordatum,30STJ69,JCM
Taraxacum cordatum,30TTK94,JCM
Taraxacum navacerradense,29SQC21,JCM
Taraxacum navacerradense,29SQC31,JCM
Taraxacum navacerradense,29SQC35,JCM
Taxus baccata,29SPD70,JCM
Teline monspessulana,29SMC88,JCM
Teline monspessulana,29SMD85,JCM
Teline monspessulana,29SMD86,JCM
Teline monspessulana,29SNB53,JCM
Teline monspessulana,29SNC10,JCM
Teline monspessulana,29SNC20,JCM
Teline monspessulana,29TNG45,JCM
Teucrium chamaedrys,29SQC19,JCM
Teucrium chamaedrys,29SQD27,JCM
Spartium junceum,29SMC79,JCM
Spartium junceum,29SMC86,JCM
Spartium junceum,29SMD70,JCM
Spartium junceum,29SMD92,JCM
Spartium junceum,29SNB10,JCM
Spartium junceum,29SNB51,JCM
Spartium junceum,29SNB70,JCM
Spartium junceum,29SNB83,JCM
Spartium junceum,29SNC06,JCM
Spartium junceum,29SND01,JCM
Spartium junceum,29SPA09,JCM
Spartium junceum,29SPB03,JCM
Spartium junceum,29SPB71,JCM
Spartium junceum,29SPC03,JCM
Spartium junceum,29SPC29,JCM
Spartium junceum,29SQD12,JCM
Spartium junceum,29TNE23,JCM
Spartium junceum,29TNE33,JCM
Spartium junceum,29TNE46,JCM
Spartium junceum,29TNE65,JCM
Spartium junceum,29TNG24,JCM
Spartium junceum,30SWJ06,JCM
Spartium junceum,30SXH75,JCM
Spartium junceum,30SXH95,JCM
Spartium junceum,30SXJ67,JCM
Spartium junceum,30SXJ74,JCM
Spartium junceum,30SXJ86,JCM
Spartium junceum,30SXJ96,JCM
Spartium junceum,30SXJ99,JCM
Spartium junceum,30SXK10,JCM
Spartium junceum,30SXK20,JCM
Spartium junceum,30SYH06,JCM
Spartium junceum,30SYH09,JCM
Spartium junceum,30SYH28,JCM
Spartium junceum,30SYH57,JCM
Spartium junceum,30SYJ00,JCM
Spartium junceum,30SYJ07,JCM
Spartium junceum,30SYJ08,JCM
Spartium junceum,30SYJ11,JCM
Spartium junceum,30SYJ12,JCM
Spartium junceum,30SYJ17,JCM
Spartium junceum,30SYJ18,JCM
Spartium junceum,30SYJ26,JCM
Spartium junceum,30SYJ27,JCM
Spartium junceum,30SYJ28,JCM
Spartium junceum,30SYJ29,JCM
Spartium junceum,30SYJ31,JCM
Spartium junceum,30SYJ39,JCM
Spartium junceum,30SYK10,JCM
Spartium junceum,30SYK11,JCM
Spartium junceum,30SYK20,JCM
Spartium junceum,30SYK21,JCM
Spartium junceum,30SYK32,JCM
Spartium junceum,30TTM50,JCM
Spartium junceum,30TUK65,JCM
Spartium junceum,30TUK96,JCM
Spartium junceum,30TVK09,JCM
Spartium junceum,30TVK19,JCM
Spartium junceum,30TVK27,JCM
Spartium junceum,30TVK28,JCM
Spartium junceum,30TVK29,JCM
Spartium junceum,30TVK37,JCM
Spartium junceum,30TVK43,JCM
Spartium junceum,30TVK46,JCM
Spartium junceum,30TVK47,JCM
Spartium junceum,30TVK53,JCM
Spartium junceum,30TVK57,JCM
Spartium junceum,30TVK59,JCM
Spartium junceum,30TVK66,JCM
Spartium junceum,30TVK69,JCM
Spartium junceum,30TVK94,JCM
Spartium junceum,30TVL00,JCM
Spartium junceum,30TVL20,JCM
Spartium junceum,30TVL31,JCM
Spartium junceum,30TVL33,JCM
Spartium junceum,30TVL44,JCM
Spartium junceum,30TVL52,JCM
Spartium junceum,30TVL53,JCM
Spartium junceum,30TVL54,JCM
Spartium junceum,30TVL55,JCM
Spartium junceum,30TVL82,JCM
Spartium junceum,30TVL92,JCM
Spartium junceum,30TWK73,JCM
Spartium junceum,30TWL31,JCM
Spartium junceum,30TWM17,JCM
Spartium junceum,30TWM68,JCM
Spartium junceum,30TXK75,JCM
Spartium junceum,30TXK94,JCM
Spartium junceum,30TXL62,JCM
Spartium junceum,30TXL73,JCM
Spartium junceum,30TXN91,JCM
Spartium junceum,30TYK04,JCM
Spartium junceum,30TYK24,JCM
Spartium junceum,30TYK56,JCM
Spartium junceum,30TYL30,JCM
Spartium junceum,30TYN02,JCM
Spartium junceum,31SBC48,JCM
Spartium junceum,31SBC49,JCM
Spartium junceum,31SBC58,JCM
Spartium junceum,31SBC59,JCM
Spartium junceum,31TBE43,JCM
Spartium junceum,31TBE46,JCM
Spartium junceum,31TBE66,JCM
Spartium junceum,31TBE77,JCM
Spartium junceum,31TBF64,JCM
Spartium junceum,31TBG59,JCM
Onobrychis supina,30STJ76,JPA
Ononis pubescens,30TVK47,JPA
Ononis pubescens,30TVL78,JPA
Ononis spinosa antiquorum,30TVL24,JPA
Ononis spinosa antiquorum,30TVL68,JPA
Ononis spinosa antiquorum,30TWM25,JPA
Ononis spinosa antiquorum,30TWM48,JPA
Ononis spinosa antiquorum,30TWM63,JPA
Ononis spinosa antiquorum,30TWM64,JPA
Ononis spinosa antiquorum,30TXL55,JPA
Ononis spinosa antiquorum,30TXL56,JPA
Orchis spitzelii,30SUF26,JPA
Orchis spitzelii,30TVM55,JPA
Orchis spitzelii,30TVN74,JPA
Orchis spitzelii,30TVN83,JPA
Orchis spitzelii,30TXN04,JPA
Orchis spitzelii,30TXN55,JPA
Orchis spitzelii,30TYN00,JPA
Orchis spitzelii,30TYN01,JPA
