Taxon,UTM10x10,UTM1x1,Ref
Hymenocarpos hamosus,30TTK73,30TTK7732,https://www.doi.org/10.15470/akznrb
Ononis pinnata,30TTK73,30TTK7732,https://www.doi.org/10.15470/akznrb
Mercurialis elliptica,30TTK73,30TTK7733,https://www.doi.org/10.15470/akznrb
Bulbostylis cioniana,30TTK73,30TTK7733,https://www.doi.org/10.15470/akznrb
Fimbristylis bisumbellata,30TTK73,30TTK7733,https://www.doi.org/10.15470/akznrb
Leersia oryzoides,30TTK73,30TTK7733,https://www.doi.org/10.15470/akznrb
Ludwigia palustris,30TTK73,30TTK7733,https://www.doi.org/10.15470/akznrb
Smyrnium perfoliatum,30STK41,30STK4716,https://www.doi.org/10.15470/akznrb
Linaria amethystea amethystea,30SVJ10,30SVJ1206,https://www.doi.org/10.15470/akznrb
Sedum andegavense,30SVJ10,30SVJ1206,https://www.doi.org/10.15470/akznrb
Helianthemum salicifolium,30SVJ10,30SVJ1206,https://www.doi.org/10.15470/akznrb
Adonis microcarpa,30SVJ10,30SVJ1206,https://www.doi.org/10.15470/akznrb
Bifora testiculata,30SVJ11,30SVJ1314,https://www.doi.org/10.15470/akznrb
Cachrys sicula,30SVJ11,30SVJ1314,https://www.doi.org/10.15470/akznrb
Sanguisorba verrucosa,30SVJ20,30SVJ2204,https://www.doi.org/10.15470/akznrb
Sanguisorba verrucosa,30SVJ20,30SVJ2204,https://www.doi.org/10.15470/akznrb
Thymus zygis sylvestris,30SVJ20,30SVJ2204,https://www.doi.org/10.15470/akznrb
Centaurea melitensis,30SVJ20,30SVJ2204,https://www.doi.org/10.15470/akznrb
Scolymus hispanicus,30SVJ20,30SVJ2204,https://www.doi.org/10.15470/akznrb
Linaria amethystea amethystea,30SVJ20,30SVJ2204,https://www.doi.org/10.15470/akznrb
Silene vulgaris vulgaris,30SVJ20,30SVJ2204,https://www.doi.org/10.15470/akznrb
Hedypnois cretica,30SVJ20,30SVJ2204,https://www.doi.org/10.15470/akznrb
Trigonella monspeliaca,30SVJ20,30SVJ2204,https://www.doi.org/10.15470/akznrb
Biscutella auriculata,30SVJ20,30SVJ2204,https://www.doi.org/10.15470/akznrb
Campanula erinus,30SVJ20,30SVJ2204,https://www.doi.org/10.15470/akznrb
Sisymbrium runcinatum,30SVJ20,30SVJ2204,https://www.doi.org/10.15470/akznrb
Centaurea melitensis,30SVJ20,30SVJ2204,https://www.doi.org/10.15470/akznrb
Peganum harmala,30SVJ20,30SVJ2204,https://www.doi.org/10.15470/akznrb
Alyssum granatense,30SVJ20,30SVJ2204,https://www.doi.org/10.15470/akznrb
Plantago lagopus,30SVJ20,30SVJ2204,https://www.doi.org/10.15470/akznrb
Helianthemum salicifolium,30SVJ20,30SVJ2204,https://www.doi.org/10.15470/akznrb
Asteriscus aquaticus,30SVJ20,30SVJ2204,https://www.doi.org/10.15470/akznrb
Velezia rigida,30SVJ20,30SVJ2204,https://www.doi.org/10.15470/akznrb
Herniaria lusitanica lusitanica,30SVJ20,30SVJ2204,https://www.doi.org/10.15470/akznrb
Campanula erinus,30SVJ20,30SVJ2204,https://www.doi.org/10.15470/akznrb
